"Rank","Name","Symbol","employees_count","price (INR)","country"
"127","Cholamandalam Investment and Finance","CHOLAFIN.NS","9125","1501.05","India"
"128","EIH Limited","EIHOTEL.NS","9105","430.2","India"
"129","Hindustan Petroleum","HINDPETRO.NS","9065","395.5","India"
"130","Prestige Group","PRESTIGE.NS","9024","1854.5","India"
"131","Siemens India","SIEMENS.NS","8888","7749.9","India"
"132","Bharat Electronics","BEL.NS","8853","285.9","India"
"133","Nestlé India","NESTLEIND.NS","8736","2511.8","India"
"134","Punjab &amp; Sind Bank","PSB.NS","8735","52.16","India"
"135","Himatsingka Seide","HIMATSEIDE.NS","8687","147.55","India"
"136","Titan Company","TITAN.NS","8680","3474.4","India"
"137","Adani Enterprises","ADANIENT.NS","8676","3137.2","India"
"138","Bharat Petroleum","BPCL.NS","8594","337.65","India"
"139","Powergrid Corporation of India","POWERGRID.NS","8536","330.05","India"
"140","Karnataka Bank","KTKBANK.NS","8520","228.2","India"
"141","Jain Irrigation Systems","JISLDVREQS.NS","8500","33.92","India"
"142","CEAT","CEATLTD.NS","8207","3010.7","India"
"143","Relaxo Footwear","RELAXO.NS","8026","796.9","India"
"144","Apollo Tyres","APOLLOTYRE.NS","7835","505.05","India"
"145","KEC International","KEC.NS","7779","998.7","India"
"146","Torrent Power","TORNTPOWER.NS","7603","1886.4","India"
"147","Pidilite","PIDILITIND.NS","7310","3110.2","India"
"148","SRF Limited","SRF.NS","7171","2348.75","India"
"149","Tata Communications","TATACOMM.NS","7144","1963.75","India"
"150","Barbeque Nation Hospitality","BARBEQUE.NS","6878","681.1","India"
"151","Syngene International","SYNGENE.NS","6847","879.9","India"
"152","Karur Vysya Bank","KARURVYSYA.NS","6761","199.04","India"
"153","Raymond","RAYMOND.NS","6707","1603.45","India"
"154","KPIT Technologies","KPITTECH.NS","6698","1789.05","India"
"155","Quess","QUESS.NS","6664","727.1","India"
"156","Havells India","HAVELLS.NS","6533","1938.5","India"
"157","Shree Cement","SHREECEM.NS","6451","24337","India"
"158","CenturyPly","CENTURYPLY.NS","6339","904.9","India"
"159","FDC India","FDC.NS","6336","536.2","India"
"160","Piramal Pharma","PPLPHARMA.NS","6295","221.3","India"
"161","Oil India","OIL.NS","6256","584.55","India"
"162","Jindal Steel &amp; Power","JINDALSTEL.NS","6200","1005.85","India"
"163","Bajaj Auto","BAJAJ-AUTO.NS","6192","11877","India"
"164","Aarti Industries","AARTIIND.NS","6185","529.2","India"
"165","DCM Shriram","DCMSHRIRAM.NS","6067","1018.25","India"
"166","Aavas Financiers","AAVAS.NS","6034","1718.85","India"
"167","Laurus Labs","LAURUSLABS.NS","6007","474.15","India"
"168","Jubilant Pharmova","JUBLPHARMA.NS","6000","1146.35","India"
"169","Indoco Remedies","INDOCO.NS","6000","337.3","India"
"170","Dalmia Bharat","DALBHARAT.NS","5945","1872.95","India"
