"Rank","Name","Symbol","earnings_ttm","price (INR)","country"
"32","Bharti Airtel","BHARTIARTL.NS","2023080000","1687.4","India"
"33","Wipro","WIT","2004780000","535.5259","India"
"34","GAIL","GAIL.NS","1821990000","229.4","India"
"35","Hindustan Petroleum","HINDPETRO.NS","1786590000","395.5","India"
"36","Hindustan Unilever","HINDUNILVR.NS","1723800000","2783.2","India"
"37","Adani Ports & SEZ","ADANIPORTS.NS","1663510000","1408.25","India"
"38","Union Bank of India","UNIONBANK.NS","1630410000","114.12","India"
"39","Grasim Industries","GRASIM.NS","1589220000","2725.55","India"
"40","Indian Railway Finance","IRFC.NS","1458920000","152.4","India"
"41","InterGlobe Aviation","INDIGO.NS","1456680000","4693.45","India"
"42","IndusInd Bank","INDUSINDBK.NS","1445630000","1347.6","India"
"43","Sun Pharmaceutical","SUNPHARMA.NS","1444270000","1901.95","India"
"44","Hindustan Zinc","HINDZINC.NS","1408640000","504.15","India"
"45","JSW Steel","JSWSTEEL.NS","1354830000","1012.05","India"
"46","Hindustan Aeronautics","HAL.NS","1290300000","4446.15","India"
"47","Bajaj Auto","BAJAJ-AUTO.NS","1250980000","11877","India"
"48","Shriram Transport Finance","SHRIRAMFIN.NS","1239670000","3341.2","India"
"49","UltraTech Cement","ULTRACEMCO.NS","1237670000","11421.3","India"
"50","Adani Enterprises","ADANIENT.NS","1180050000","3137.2","India"
"51","Bank of India","BANKINDIA.NS","1168980000","105.53","India"
"52","Oil India","OIL.NS","1164700000","584.55","India"
"53","RattanIndia Power","RTNPOWER.NS","1139550000","16.44","India"
"54","Indian Bank","INDIANB.NS","1078110000","524.55","India"
"55","Indus Towers","INDUSTOWER.NS","1068820000","378.5","India"
"56","National Mineral Development Corporation","NMDC.NS","1013490000","233.68","India"
"57","General Insurance Corporation of India","GICRE.NS","1004470000","390.4","India"
"58","Jindal Steel &amp; Power","JINDALSTEL.NS","965456000","1005.85","India"
"59","Bajaj Holdings &amp; Investment","BAJAJHLDNG.NS","921514000","10851.1","India"
"60","Ashok Leyland","ASHOKLEY.NS","891103000","227.86","India"
"61","Dr. Reddy's","RDY","872386000","6578.4775","India"
"62","Asian Paints","ASIANPAINT.NS","821994000","3037.2","India"
"63","Tata Steel","TATASTEEL.NS","818966000","160.66","India"
"64","IDBI Bank","IDBI.NS","776579000","83.28","India"
"65","Muthoot Finance","MUTHOOTFIN.NS","748583000","1945.45","India"
"66","LTIMindtree","LTIM.NS","744673000","6410.95","India"
"67","LIC Housing Finance","LICHSGFIN.NS","726932000","619.5","India"
"68","Cipla","CIPLA.NS","721746000","1595.75","India"
"69","Ambuja Cements","AMBUJACEM.NS","694376000","585.2","India"
"70","Tata Power","TATAPOWER.NS","689898000","461.15","India"
"71","Bharat Electronics","BEL.NS","673791000","285.9","India"
"72","Hero MotoCorp","HEROMOTOCO.NS","662238000","5476.3","India"
"73","Eicher Motors","EICHERMOT.NS","658369000","4728.05","India"
"74","Federal Bank","FEDERALBNK.NS","655867000","187.55","India"
"75","Zydus Lifesciences","ZYDUSLIFE.NS","652646000","1064.4","India"
"76","Titan Company","TITAN.NS","640442000","3474.4","India"
"77","Samvardhana Motherson","MOTHERSON.NS","629379000","212.82","India"
"78","Aurobindo Pharma","AUROPHARMA.NS","625994000","1495.85","India"
"79","Petronet LNG","PETRONET.NS","625207000","355.15","India"
"80","Cholamandalam Investment and Finance","CHOLAFIN.NS","591579000","1501.05","India"
"81","Aditya Birla Capital","ABCAPITAL.NS","569611000","220.84","India"
"82","NHPC Limited","NHPC.NS","565940000","90.92","India"
"83","Motilal Oswal Financial Services","MOTILALOFS.NS","544029000","808.55","India"
"84","JSW Energy","JSWENERGY.NS","526843000","706.7","India"
