"Rank","Name","Symbol","operating_margin_ttm","price (INR)","country"
"214","KPIT Technologies","KPITTECH.NS","1752","1789.05","India"
"215","TANLA","TANLA.NS","1726","858.1","India"
"216","LTIMindtree","LTIM.NS","1724","6410.95","India"
"217","Electrosteel Castings","ELECTCAST.NS","1723","202.3","India"
"218","General Insurance Corporation of India","GICRE.NS","1707","390.4","India"
"219","Kitex Garments","KITEX.NS","1704","522.45","India"
"220","Cera Sanitaryware","CERA.NS","1697","7899.65","India"
"221","InterGlobe Aviation","INDIGO.NS","1690","4693.45","India"
"222","Mphasis","MPHASIS.NS","1685","2876.35","India"
"223","Vidhi Specialty Food","VIDHIING.NS","1683","480.55","India"
"224","Coromandel","COROMANDEL.NS","1660","1638.95","India"
"225","Bliss GVS Pharma","BLISSGVS.NS","1656","128.06","India"
"226","Sunteck Realty","SUNTECK.NS","1656","556.25","India"
"227","United Spirits","UNITDSPR.BO","1648","1520.3","India"
"228","SKF India","SKFINDIA.NS","1635","5413.2","India"
"229","Escorts Kubota","ESCORTS.NS","1635","3937.95","India"
"230","Schaeffler India","SCHAEFFLER.NS","1627","3898.35","India"
"231","Ratnamani Metals &amp; Tubes","RATNAMANI.NS","1624","3534.9","India"
"232","Vadilal Industries","VADILALIND.NS","1622","4048.85","India"
"233","Trent Limited","TRENT.NS","1615","8234.95","India"
"234","Ashok Leyland","ASHOKLEY.NS","1591","227.86","India"
"235","Himatsingka Seide","HIMATSEIDE.NS","1588","147.55","India"
"236","IDFC FIRST Bank","IDFCFIRSTB.NS","1577","72.37","India"
"237","Bata India","BATAINDIA.NS","1570","1406.1","India"
"238","Siemens India","SIEMENS.NS","1561","7749.9","India"
"239","Jindal Steel &amp; Power","JINDALSTEL.NS","1559","1005.85","India"
"240","Vst Tillers Tractors","VSTTILLERS.NS","1558","4512.55","India"
"241","Persistent Systems","PERSISTENT.NS","1552","5469.55","India"
"242","JK Cement","JKCEMENT.NS","1527","4238.75","India"
"243","Lupin Limited","LUPIN.NS","1526","2224.5","India"
"244","Action Construction Equipment","ACE.NS","1523","1343.85","India"
"245","Hester Biosciences","HESTERBIO.NS","1511","2348.65","India"
"246","RBL Bank","RBLBANK.NS","1506","204.41","India"
"247","Shalby","SHALBY.NS","1504","263.5","India"
"248","Inox Wind","INOXWIND.NS","1490","218.61","India"
"249","Elgi Equipments","ELGIEQUIP.NS","1487","671.6","India"
"250","Deepak Nitrite","DEEPAKNTR.NS","1485","2829.6","India"
"251","CG Power and Industrial Solutions","CGPOWER.NS","1484","858.15","India"
"252","ZF Commercial Vehicle Control Systems India","ZFCVINDIA.NS","1466","15304.8","India"
"253","Fortis Healthcare","FORTIS.NS","1462","600.3","India"
"254","Mishra Dhatu Nigam","MIDHANI.NS","1457","376.7","India"
"255","Berger Paints","BERGEPAINT.NS","1451","571.55","India"
"256","UltraTech Cement","ULTRACEMCO.NS","1447","11421.3","India"
"257","Torrent Power","TORNTPOWER.NS","1446","1886.4","India"
"258","Supreme Industries","SUPREMEIND.NS","1429","5224.4","India"
"259","Quick Heal","QUICKHEAL.NS","1426","811.7","India"
"260","SRF Limited","SRF.NS","1425","2348.75","India"
"261","ACC","ACC.NS","1424","2312.45","India"
"262","Granules India","GRANULES.NS","1415","603.85","India"
"263","Hero MotoCorp","HEROMOTOCO.NS","1415","5476.3","India"
"264","Safari Industries India","SAFARI.NS","1412","2611","India"
"265","Cyient","CYIENT.NS","1411","1851.2","India"
"266","Carborundum Universal","CARBORUNIV.NS","1403","1467.95","India"
"267","Shree Cement","SHREECEM.NS","1390","24337","India"
"268","Maruti Suzuki India","MARUTI.NS","1388","12776.6","India"
"269","Zydus Wellness","ZYDUSWELL.NS","1386","1956.25","India"
"270","Mastek","MASTEK.NS","1365","2709.8","India"
"271","INEOS Styrolution","INEOSSTYRO.NS","1363","807.8","India"
"272","CIE Automotive India","CIEINDIA.NS","1360","541.2","India"
"273","PCBL Limited","PCBL.NS","1343","508.6","India"
"274","WNS","WNS","1343","4005.0948","India"
"275","Central Bank of India","CENTRALBK.NS","1341","56.96","India"
"276","Honda Siel Power Products","HONDAPOWER.NS","1329","4154.2","India"
"277","Astral Poly Technik","ASTRAL.NS","1323","1897.45","India"
"278","Siyaram Silk Mills","SIYSIL.NS","1322","526.8","India"
"279","Engineers India","ENGINERSIN.NS","1300","200.71","India"
"280","Jagran Prakashan","JAGRAN.NS","1296","92.24","India"
"281","Ethos Watches","ETHOSLTD.NS","1289","3092.85","India"
"282","Yes Bank","YESBANK.NS","1286","21.4","India"
"283","Gulf Oil Lubricants","GULFOILLUB.NS","1284","1313.45","India"
"284","Polycab India","POLYCAB.NS","1278","7446.85","India"
"285","India Motor Parts and Accessories","IMPAL.NS","1273","1287.6","India"
"286","KSB ltd","KSB.NS","1268","997.8","India"
"287","Century Textiles and Industries","CENTURYTEX.NS","1259","2718.95","India"
"288","VA Tech Wabag","WABAG.NS","1254","1562.45","India"
"289","Ipca Laboratories","IPCALAB.NS","1243","1655.05","India"
"290","Praj Industries","PRAJIND.NS","1243","772.4","India"
"291","Asahi India Glass","ASAHIINDIA.NS","1243","735.5","India"
"292","Coforge","COFORGE.NS","1240","7380.6","India"
"293","ICICI Lombard","ICICIGI.NS","1238","2067.35","India"
