"Rank","Name","Symbol","pe_ratio_ttm","price (INR)","country"
"180","Mastek","MASTEK.NS","29.9762","2709.8","India"
"181","Wheels India","WHEELS.NS","30.2641","743.55","India"
"182","Amara Raja Batteries","ARE&M.NS","30.2711","1406.9","India"
"183","Edelweiss Financial Services","EDELWEISS.NS","30.4891","127.87","India"
"184","Capacit'e Infraprojects","CAPACITE.NS","30.5891","396.4","India"
"185","PDS Multinational","PDSL.NS","30.678","520.3","India"
"186","GAIL","GAIL.NS","30.7472","229.4","India"
"187","AIA Engineering","AIAENG.NS","30.8395","4074.35","India"
"188","Natco Pharma","NATCOPHARM.NS","31.2596","1436.25","India"
"189","Tide Water Oil","TIDEWATER.NS","31.7494","2140.4","India"
"190","Infosys","INFY","31.875","1927.7251","India"
"191","Indian Railway Finance","IRFC.NS","32.037","152.4","India"
"192","Jay Bharat Maruti","JAYBARMARU.NS","32.0886","98.07","India"
"193","Gujarat Gas","GUJGASLTD.NS","32.3345","600.1","India"
"194","MOIL","MOIL.NS","32.5239","382.75","India"
"195","Narayana Hrudayalaya","NH.NS","32.5343","1221.2","India"
"196","Hindustan Aeronautics","HAL.NS","32.8082","4446.15","India"
"197","Shriram Pistons &amp; Rings","SHRIPISTON.NS","32.8169","2210.3","India"
"198","Jindal Poly Films","JINDALPOLY.NS","32.9294","817.55","India"
"199","Granules India","GRANULES.NS","32.9641","603.85","India"
"200","Bajaj Finance","BAJFINANCE.NS","33.0363","7302","India"
"201","National Aluminum &amp; Alloy","NATIONALUM.NS","33.0715","222.92","India"
"202","Hero MotoCorp","HEROMOTOCO.NS","33.0926","5476.3","India"
"203","Mphasis","MPHASIS.NS","33.1272","2876.35","India"
"204","Phoenix Mills","PHOENIXLTD.NS","33.1756","1628.95","India"
"205","Fine Organics","FINEORG.NS","33.3096","5080.5","India"
"206","Tata Consultancy Services","TCS.NS","33.3694","4149.2","India"
"207","Steel Authority of India","SAIL.NS","34.3313","134.03","India"
"208","Jindal Steel &amp; Power","JINDALSTEL.NS","34.4413","1005.85","India"
"209","Kingfa Science & Technology","KINGFA.NS","34.596","3333.45","India"
"210","Maruti Suzuki India","MARUTI.NS","34.6089","12776.6","India"
"211","Dalmia Bharat","DALBHARAT.NS","35.4341","1872.95","India"
"212","Apex Frozen Foods","APEX.NS","35.4826","244.23","India"
"213","Indus Towers","INDUSTOWER.NS","35.5029","378.5","India"
"214","Star Health and Allied Insurance Company","STARHEALTH.NS","35.5372","547.6","India"
"215","Finolex Cables","FINCABLES.NS","35.6306","1298.15","India"
"216","Shalby","SHALBY.NS","35.7487","263.5","India"
"217","Prime Focus","PFOCUS.NS","36.1833","150.84","India"
"218","Gland Pharma","GLAND.NS","36.6333","1698.55","India"
"219","Cipla","CIPLA.NS","36.6376","1595.75","India"
"220","Ashok Leyland","ASHOKLEY.NS","36.6936","227.86","India"
"221","FDC India","FDC.NS","37.3444","536.2","India"
"222","Safari Industries India","SAFARI.NS","37.3978","2611","India"
"223","Bayer Crop Science","BAYERCROP.NS","37.5785","6713.85","India"
"224","Time Technoplast","TIMETECHNO.NS","37.7929","394.85","India"
"225","Gokaldas Exports","GOKEX.NS","38.4624","932.15","India"
"226","Parag Milk Foods","PARAGMILK.NS","38.5954","227.29","India"
"227","Gujarat Alkalies and Chemicals","GUJALKALI.NS","38.9072","875.3","India"
"228","Ratnamani Metals &amp; Tubes","RATNAMANI.NS","38.9656","3534.9","India"
"229","Anup Engineering","ANUP.NS","39.0356","2735.15","India"
"230","Larsen &amp; Toubro","LT.NS","39.1831","3482.55","India"
"231","Eicher Motors","EICHERMOT.NS","39.2183","4728.05","India"
"232","Sterling Tools","STERTOOLS.NS","39.3504","574.65","India"
"233","SRF Limited","SRF.NS","39.3938","2348.75","India"
"234","Bajaj Finserv","BAJAJFINSV.NS","39.5223","1876.4","India"
"235","Finolex Industries","FINPIPE.NS","39.5697","299.45","India"
"236","Tech Mahindra","TECHM.NS","39.6261","1647.05","India"
"237","Electrosteel Castings","ELECTCAST.NS","39.789","202.3","India"
"238","Varun Beverages","VBL.NS","39.9484","592.35","India"
"239","Cholamandalam Investment and Finance","CHOLAFIN.NS","40.0409","1501.05","India"
"240","Vaibhav Global","VAIBHAVGBL.NS","40.0579","300.65","India"
"241","Aarti Industries","AARTIIND.NS","40.1069","529.2","India"
"242","CARE's Ratings","CARERATING.NS","40.5414","1230.35","India"
"243","Filatex India","FILATEX.NS","40.5528","57.86","India"
"244","Tata Power","TATAPOWER.NS","41.0009","461.15","India"
"245","Sandhar","SANDHAR.NS","41.0332","574.45","India"
"246","Welspun India","WELSPUNIND.NS","41.2198","158.95","India"
"247","Gujarat Fluorochemicals","FLUOROCHEM.NS","41.255","4693.85","India"
"248","Torrent Power","TORNTPOWER.NS","41.5628","1886.4","India"
"249","Zydus Lifesciences","ZYDUSLIFE.NS","41.6347","1064.4","India"
"250","EaseMyTrip","EASEMYTRIP.NS","41.6509","34.19","India"
"251","Force Motors","FORCEMOT.NS","41.704","7099.9","India"
"252","SJVN","SJVN.NS","41.7273","120.19","India"
"253","LTIMindtree","LTIM.NS","42.0392","6410.95","India"
"254","Vst Tillers Tractors","VSTTILLERS.NS","42.1577","4512.55","India"
"255","Excel Industries","EXCELINDUS.NS","42.2403","1626.6","India"
"256","Honda Siel Power Products","HONDAPOWER.NS","42.3673","4154.2","India"
"257","Persistent Systems","PERSISTENT.NS","42.4173","5469.55","India"
"258","Alembic Pharmaceuticals","APLLTD.NS","42.575","1171.7","India"
"259","Trident","TRIDENT.NS","42.6617","35.3","India"
"260","Embassy Office Parks REIT","EMBASSY.BO","42.8603","387.76","India"
"261","Zydus Wellness","ZYDUSWELL.NS","42.8663","1956.25","India"
"262","L&amp;T Technology Services","LTTS.NS","43.2539","5234.2","India"
"263","Suprajit Engineering","SUPRAJIT.NS","43.2542","505.4","India"
"264","Aurobindo Pharma","AUROPHARMA.NS","43.3093","1495.85","India"
"265","Cera Sanitaryware","CERA.NS","43.3956","7899.65","India"
"266","Craftsman Automation","CRAFTSMAN.NS","43.5038","6228.1","India"
"267","Greenlam Industries","GREENLAM.NS","43.5038","509.15","India"
"268","Hikal","HIKAL.NS","43.5386","340","India"
"269","Marksans Pharma","MARKSANS.NS","43.6593","289.15","India"
"270","PCBL Limited","PCBL.NS","43.7588","508.6","India"
"271","Mishra Dhatu Nigam","MIDHANI.NS","43.8725","376.7","India"
"272","Madras Rubber Factory","MRF.NS","44.3884","132198","India"
"273","Sheela Foam","SFL.NS","44.3959","913.1","India"
"274","Emami","EMAMILTD.NS","44.752","730.25","India"
"275","Container Corporation of India","CONCOR.NS","45.0696","893.9","India"
"276","Gabriel India","GABRIEL.NS","45.2538","458.35","India"
"277","Somany Ceramics","SOMANYCERA.NS","45.6136","720.25","India"
"278","InterGlobe Aviation","INDIGO.NS","46.1906","4693.45","India"
"279","The Tinplate Company Of India","TINPLATE.NS","47.278","430.5","India"
"280","CDSL","CDSL.NS","47.3888","1478.05","India"
"281","Adani Ports & SEZ","ADANIPORTS.NS","47.3982","1408.25","India"
"282","SKF India","SKFINDIA.NS","47.4845","5413.2","India"
"283","Prince Pipes And Fittings","PRINCEPIPE.NS","47.4881","546.95","India"
"284","Bajaj Electricals","BAJAJELEC.NS","47.7515","900.9","India"
"285","Bajaj Auto","BAJAJ-AUTO.NS","48.2219","11877","India"
"286","Orient Cement","ORIENTCEM.NS","48.5358","295.75","India"
"287","Rupa Company","RUPA.NS","48.9817","287.35","India"
"288","Deepak Nitrite","DEEPAKNTR.NS","49.1585","2829.6","India"
"289","Happiest Minds Technologies","HAPPSTMNDS.NS","49.2421","800.75","India"
"290","Heidelbergcement India","HEIDELBERG.NS","49.5812","224.39","India"
"291","PI Industries","PIIND.NS","49.6557","4523.6","India"
"292","360 One Wam","360ONE.NS","50.6582","1056.9","India"
