,Name,Symbol,country,price (INR),marketcap,revenue_ttm,operating_margin_ttm,earnings_ttm,employees_count,pe_ratio_ttm
70,Eicher Motors,EICHERMOT.NS,India,4728.05,129577.4,1997.15,32.96,658.37,4739,39.2183
71,Cipla,CIPLA.NS,India,1595.75,128871.97,3097.79,23.29,721.75,25927,36.6376
72,Cholamandalam Investment and Finance,CHOLAFIN.NS,India,1501.05,126134.14,1300.71,45.48,591.58,9125,40.0409
73,Shriram Transport Finance,SHRIRAMFIN.NS,India,3341.2,125632.12,2456.59,50.46,1239.67,64052,18.7026
74,Bank of Baroda,BANKBARODA.NS,India,242.42,125491.62,8147.74,38.87,3167.0,78122,7.03403
75,JSW Energy,JSWENERGY.NS,India,706.7,123268.27,1366.03,38.56,526.84,2310,64.311
76,Havells India,HAVELLS.NS,India,1938.5,121486.95,2334.26,9.87,230.47,6533,101.152
77,Bajaj Holdings &amp; Investment,BAJAJHLDNG.NS,India,10851.1,120766.23,945.26,97.48,921.51,18,21.3792
78,Punjab National Bank,PNB.NS,India,104.91,120572.02,6784.57,31.72,2152.21,104120,19.21
79,Torrent Pharmaceuticals,TORNTPHARM.NS,India,3497.05,118355.91,1300.12,25.87,336.36,15718,86.4654
80,Adani Energy Solutions,ADANIENSOL.NS,India,976.8,117708.31,2169.18,18.15,393.9,0,85.8193
81,Lodha Group,LODHA.NS,India,1169.85,116462.66,1371.56,21.38,293.25,4560,-199.791
82,BOSCH India,BOSCHLTD.NS,India,38486.8,113511.43,1985.44,19.78,393.01,38700,73.8699
83,Polycab India,POLYCAB.NS,India,7446.85,111992.43,2217.4,12.78,283.58,4843,68.1146
84,Mankind Pharma,MANKIND.NS,India,2792.55,111881.84,1278.57,23.24,297.23,0,70.4569
85,Dr. Reddy's,RDY,India,6578.4775,111232.18,3463.66,25.18,872.39,27048,21.1263
86,Tata Consumer Products,TATACONSUM.NS,India,1113.1,110130.56,1885.96,10.52,198.62,3040,79.5426
87,Hero MotoCorp,HEROMOTOCO.NS,India,5476.3,109515.04,4677.26,14.15,662.24,9173,33.0926
88,Info Edge,NAUKRI.NS,India,8363.3,108198.52,310.59,38.39,119.25,4785,-832.452
89,United Spirits,UNITDSPR.BO,India,1520.3,107949.66,1362.95,16.48,224.62,2598,78.0524
90,ICICI Prulife,ICICIPRULI.NS,India,742.55,107284.37,10946.58,1.06,116.69,18842,115.704
91,Zydus Lifesciences,ZYDUSLIFE.NS,India,1064.4,107103.13,2402.65,27.16,652.65,23000,41.6347
