"Rank","Name","Symbol","revenue_ttm","price (INR)","country"
"134","Bharat Forge","BHARATFORG.NS","1833500184","1492.35","India"
"135","Tata Chemicals","TATACHEM.NS","1785702044","1183.1","India"
"136","UNO Minda","UNOMINDA.NS","1757033236","985.75","India"
"137","Star Health and Allied Insurance Company","STARHEALTH.NS","1731173478","547.6","India"
"138","BASF India","BASF.NS","1722286411","8168.25","India"
"139","Dalmia Bharat","DALBHARAT.NS","1720419354","1872.95","India"
"140","Biocon","BIOCON.NS","1710889451","346.15","India"
"141","Aditya Birla Fashion and Retail","ABFRL.NS","1708148700","340.25","India"
"142","Indraprastha Gas","IGL.NS","1694431208","540.55","India"
"143","Voltas","VOLTAS.NS","1677418612","1789.45","India"
"144","Zomato","ZOMATO.NS","1669076311","277.55","India"
"145","Godrej","GODREJCP.NS","1664890729","1315.7","India"
"146","Allcargo Logistics","ALLCARGO.NS","1648270270","61.4","India"
"147","Yes Bank","YESBANK.NS","1645197457","21.4","India"
"148","Bank of Maharashtra","MAHABANK.NS","1644412067","54.24","India"
"149","Trent Limited","TRENT.NS","1642449655","8234.95","India"
"150","Mphasis","MPHASIS.NS","1614620395","2876.35","India"
"151","SBI Card","SBICARD.NS","1589338411","733.75","India"
"152","Bandhan Bank","BANDHANBNK.NS","1577761905","210.26","India"
"153","NLC India","NLCINDIA.NS","1567679766","266.1","India"
"154","SRF Limited","SRF.NS","1563495087","2348.75","India"
"155","Coromandel","COROMANDEL.NS","1550133938","1638.95","India"
"156","Federal Bank","FEDERALBNK.NS","1549023189","187.55","India"
"157","National Aluminum &amp; Alloy","NATIONALUM.NS","1539933144","222.92","India"
"158","Alkem Laboratories","ALKEM.NS","1501248502","6191.3","India"
"159","Dabur","DABUR.NS","1498409375","570.85","India"
"160","Pidilite","PIDILITIND.NS","1495592537","3110.2","India"
"161","Amara Raja Batteries","ARE&M.NS","1455235805","1406.9","India"
"162","CEAT","CEATLTD.NS","1445424015","3010.7","India"
"163","Glenmark Pharmaceuticals","GLENMARK.NS","1423883165","1790.65","India"
"164","Tata Steel Long Products","TATASTLLP.NS","1411749105","829.35","India"
"165","Lodha Group","LODHA.NS","1371558285","1169.85","India"
"166","JSW Energy","JSWENERGY.NS","1366032788","706.7","India"
"167","United Spirits","UNITDSPR.BO","1362954855","1520.3","India"
"168","ABB India","ABB.NS","1362795443","8553.7","India"
"169","JK Cement","JKCEMENT.NS","1350351610","4238.75","India"
"170","Berger Paints","BERGEPAINT.NS","1340065781","571.55","India"
"171","WNS","WNS","1319979000","4005.0948","India"
"172","DCM Shriram","DCMSHRIRAM.NS","1316057168","1018.25","India"
"173","Cholamandalam Investment and Finance","CHOLAFIN.NS","1300709759","1501.05","India"
"174","Torrent Pharmaceuticals","TORNTPHARM.NS","1300115854","3497.05","India"
"175","Mankind Pharma","MANKIND.NS","1278570470","2792.55","India"
"176","NBCC India","NBCC.NS","1264364970","114.06","India"
"177","PDS Multinational","PDSL.NS","1258278574","520.3","India"
"178","Endurance Technologies","ENDURANCE.NS","1255539956","2343.35","India"
"179","Muthoot Finance","MUTHOOTFIN.NS","1243431207","1945.45","India"
"180","Supreme Industries","SUPREMEIND.NS","1242279177","5224.4","India"
"181","Ashoka Buildcon","ASHOKA.NS","1239921195","251.64","India"
"182","Persistent Systems","PERSISTENT.NS","1229047414","5469.55","India"
"183","Blue Star","BLUESTARCO.NS","1226140625","2019.3","India"
"184","Adani Green Energy","ADANIGREEN.NS","1184849912","1792.2","India"
"185","Balkrishna Industries","BALKRISIND.NS","1183616177","3023.4","India"
"186","L&amp;T Technology Services","LTTS.NS","1177474711","5234.2","India"
"187","Marico","MARICO.NS","1169255209","685.5","India"
"188","Future Retail","FRETAIL.NS","1141290288","2.28","India"
"189","Piramal Enterprises","PEL.NS","1141094668","1079.8","India"
"190","Thermax","THERMAX.NS","1139153079","5155.25","India"
"191","Coforge","COFORGE.NS","1123573546","7380.6","India"
"192","RBL Bank","RBLBANK.NS","1120341652","204.41","India"
"193","Network18","NETWORK18.NS","1104318456","81.36","India"
"194","Ramco Cements","RAMCOCEM.NS","1103968438","861.55","India"
"195","NHPC Limited","NHPC.NS","1103410644","90.92","India"
"196","Paytm","PAYTM.NS","1097218953","724.5","India"
"197","GMR Group","GMRINFRA.NS","1097147155","88.42","India"
"198","Cummins India","CUMMINSIND.NS","1074366577","3614.15","India"
"199","Container Corporation of India","CONCOR.NS","1060545231","893.9","India"
"200","Zee Entertainment","ZEEL.NS","1054614894","130.15","India"
"201","CIE Automotive India","CIEINDIA.NS","1052969852","541.2","India"
"202","Escorts Kubota","ESCORTS.NS","1040201054","3937.95","India"
"203","LIC Housing Finance","LICHSGFIN.NS","1026172849","619.5","India"
"204","Delhivery","DELHIVERY.NS","1006544459","411.15","India"
"205","KEI Industries","KEI.NS","1006270422","4575.95","India"
"206","CG Power and Industrial Solutions","CGPOWER.NS","997552487","858.15","India"
"207","Piramal Pharma","PPLPHARMA.NS","997445919","221.3","India"
"208","ReNew Power","RNW","995105844","496.8537","India"
"209","Hatsun Agro Products","HATSUN.NS","986183958","1145.25","India"
"210","Divis Laboratories","DIVISLAB.NS","976718137","6142.25","India"
"211","Ipca Laboratories","IPCALAB.NS","976052905","1655.05","India"
"212","Raymond","RAYMOND.NS","972614836","1603.45","India"
"213","United Breweries","UBL.NS","969620217","2085.95","India"
"214","Prestige Group","PRESTIGE.NS","967478414","1854.5","India"
"215","Deepak Nitrite","DEEPAKNTR.NS","962221530","2829.6","India"
"216","Bajaj Holdings &amp; Investment","BAJAJHLDNG.NS","945264532","10851.1","India"
"217","Surya Roshni","SURYAROSNI.NS","939695061","722.15","India"
"218","AU Small Finance Bank","AUBANK.NS","937460064","690.4","India"
"219","Electrosteel Castings","ELECTCAST.NS","937010442","202.3","India"
"220","Welspun India","WELSPUNIND.NS","933800474","158.95","India"
"221","PI Industries","PIIND.NS","932905058","4523.6","India"
"222","Nerolac Paints","KANSAINER.NS","929819564","288.75","India"
"223","Varroc","VARROC.NS","917838991","575.7","India"
"224","Schaeffler India","SCHAEFFLER.NS","911098291","3898.35","India"
"225","Crompton Greaves Consumer Electricals","CROMPTON.NS","904520114","430.85","India"
"226","Reliance Power","RPOWER.NS","900124159","44.23","India"
"227","Arvind","ARVIND.NS","894395911","360.2","India"
"228","Force Motors","FORCEMOT.NS","887119613","7099.9","India"
"229","Whirlpool India","WHIRLPOOL.NS","874715973","2367.15","India"
"230","Amber Enterprises India","AMBER.NS","867677350","5019.85","India"
"231","PCBL Limited","PCBL.NS","862280507","508.6","India"
"232","Suzlon","SUZLON.NS","860096759","74.39","India"
"233","Cyient","CYIENT.NS","856780766","1851.2","India"
"234","Edelweiss Financial Services","EDELWEISS.NS","845348427","127.87","India"
"235","Fortis Healthcare","FORTIS.NS","844784166","600.3","India"
"236","SpiceJet","SPICEJET.BO","842048344","67.29","India"
"237","MakeMyTrip","MMYT","840312000","8490.2293","India"
"238","Hindustan Construction Company","HCC.NS","827919523","42.26","India"
"239","Jaypee Group","JPASSOCIAT.NS","817582689","8.55","India"
"240","Jubilant Pharmova","JUBLPHARMA.NS","816218856","1146.35","India"
"241","Nykaa","NYKAA.NS","805547958","192.01","India"
"242","Trident","TRIDENT.NS","802757374","35.3","India"
